# Force βfλ, Rxy^2
1.7464e+00,    3.5092e-01
1.7626e+00,    3.4877e-01
1.7789e+00,    3.4663e-01
1.7954e+00,    3.4449e-01
1.8120e+00,    3.4236e-01
1.8288e+00,    3.4023e-01
1.8457e+00,    3.3811e-01
1.8628e+00,    3.3599e-01
1.8801e+00,    3.3387e-01
1.8975e+00,    3.3177e-01
1.9150e+00,    3.2966e-01
1.9328e+00,    3.2757e-01
1.9507e+00,    3.2548e-01
1.9687e+00,    3.2339e-01
1.9869e+00,    3.2131e-01
2.0053e+00,    3.1924e-01
2.0239e+00,    3.1717e-01
2.0426e+00,    3.1511e-01
2.0616e+00,    3.1306e-01
2.0806e+00,    3.1101e-01
2.0999e+00,    3.0897e-01
2.1194e+00,    3.0694e-01
2.1390e+00,    3.0492e-01
2.1588e+00,    3.0290e-01
2.1788e+00,    3.0089e-01
2.1989e+00,    2.9888e-01
2.2193e+00,    2.9689e-01
2.2398e+00,    2.9490e-01
2.2606e+00,    2.9291e-01
2.2815e+00,    2.9094e-01
2.3026e+00,    2.8897e-01
2.3240e+00,    2.8702e-01
2.3455e+00,    2.8507e-01
2.3672e+00,    2.8312e-01
2.3891e+00,    2.8119e-01
2.4112e+00,    2.7926e-01
2.4336e+00,    2.7735e-01
2.4561e+00,    2.7544e-01
2.4788e+00,    2.7353e-01
2.5018e+00,    2.7164e-01
2.5249e+00,    2.6976e-01
2.5483e+00,    2.6788e-01
2.5719e+00,    2.6601e-01
2.5957e+00,    2.6415e-01
2.6198e+00,    2.6230e-01
2.6440e+00,    2.6046e-01
2.6685e+00,    2.5863e-01
2.6932e+00,    2.5681e-01
2.7181e+00,    2.5499e-01
2.7433e+00,    2.5318e-01
2.7687e+00,    2.5139e-01
2.7943e+00,    2.4960e-01
2.8202e+00,    2.4782e-01
2.8463e+00,    2.4605e-01
2.8727e+00,    2.4429e-01
2.8993e+00,    2.4253e-01
2.9261e+00,    2.4079e-01
2.9532e+00,    2.3906e-01
2.9806e+00,    2.3733e-01
3.0081e+00,    2.3562e-01
3.0360e+00,    2.3391e-01
3.0641e+00,    2.3221e-01
3.0925e+00,    2.3052e-01
3.1211e+00,    2.2884e-01
3.1500e+00,    2.2717e-01
3.1792e+00,    2.2551e-01
3.2086e+00,    2.2386e-01
3.2383e+00,    2.2222e-01
3.2683e+00,    2.2058e-01
3.2986e+00,    2.1896e-01
3.3291e+00,    2.1734e-01
3.3599e+00,    2.1574e-01
3.3910e+00,    2.1414e-01
3.4224e+00,    2.1255e-01
3.4541e+00,    2.1097e-01
3.4861e+00,    2.0941e-01
3.5184e+00,    2.0785e-01
3.5509e+00,    2.0629e-01
3.5838e+00,    2.0475e-01
3.6170e+00,    2.0322e-01
3.6505e+00,    2.0170e-01
3.6843e+00,    2.0018e-01
3.7184e+00,    1.9868e-01
3.7528e+00,    1.9718e-01
3.7876e+00,    1.9570e-01
3.8226e+00,    1.9422e-01
3.8580e+00,    1.9275e-01
3.8938e+00,    1.9129e-01
3.9298e+00,    1.8984e-01
3.9662e+00,    1.8840e-01
4.0029e+00,    1.8697e-01
4.0400e+00,    1.8554e-01
4.0774e+00,    1.8413e-01
4.1151e+00,    1.8272e-01
4.1532e+00,    1.8132e-01
4.1917e+00,    1.7994e-01
4.2305e+00,    1.7856e-01
4.2697e+00,    1.7719e-01
4.3092e+00,    1.7583e-01
4.3491e+00,    1.7447e-01
4.3894e+00,    1.7313e-01
4.4300e+00,    1.7179e-01
4.4710e+00,    1.7047e-01
